Class,Inherited_class,Structure_name,Crater_field,Region,Country,Continent/Ocean,Lat,Lon,Diameter_final_rim_km,Diameter_present-day_km,Diameter_outer_limit_of_deformation_km,Diameter_km,DiameterSQL_km,Age_Ma,Younger_age_limit_Ma,Best_age_Ma,Older_age_limit_Ma,Age_uncert_Ma,Age_uncert_type,Overburden_m,Present_water_depth_m,Drilled,Target,Target_water_depth_m,Impactor,,,,,,,,,,,
0,-,Acraman,-,South Australia,Australia,Australia,-32.02,135.45,85-90,30,-,85-90,85,~580,570,580,590,10,stratigraphic,0,0,-,I,-,chondrite,,,,,,,,,,,
0,-,Alamo (=Tempiute),-,-,USA,North America,37.60,-115.34,44-65,-,-,44-65,55,382.1 ± 3,379.1,382.1,385.1,3,95% conf.,0,0,-,"W, Scs",-,-,,,,,,,,,,,
0,-,Amelia Creek,-,Northern Territory,Australia,Australia,-20.85,134.88,-,20x12,-,20x12,16,1815-600,600,-,1815,-,stratigraphic,0,0,N,"Ss, I",-,-,,,,,,,,,,,
0,-,Ames,-,Oklahoma,USA,North America,36.25,-98.20,-,16,-,16,16,445-456,445,-,456,-,biostratigraphic,2750,0,Y,"Ssc, I",<500,-,,,,,,,,,,,
0,-,Amguid,-,-,Algeria,Africa,26.0876,4.3951,0.49x0.54,-,-,0.49x0.54,0.515,<0.1,-,-,0.1,-,geomorphologic,0,0,N,Ss,0,-,,,,,,,,,,,
0,-,Aorounga,-,-,Chad,Africa,19.09,19.24,16,13,16,16,16,385-0.5,0.5,-,385,-,stratigraphic,0,0,N,Ss,-,-,,,,,,,,,,,
0,-,Aouelloul,-,-,Mauritania,Africa,20.2413,-12.6745,0.39,0.39,-,0.39,0.39,3.0 ± 0.3,2.7,3,3.3,0.3, 1or 2 σ,0,0,N,"Ss, M",0,iron,,,,,,,,,,,
0,x,Araguainha,-,-,Brazil,South America,-16.811,-52.990,-,-,-,40,40,~246,221.4,246,270.6,-,10%,0,-,N,-,-,-,,,,,,,,,,,
0,-,Avak,-,Alaska,USA,North America,71.233,-156.483,12,12,-,12,12,"110-3, likely ~90",3,90,110,-,stratigraphic,30,0,Y,"Ssc, M",0-500,-,,,,,,,,,,,
0,x,B.P. Structure,-,-,Libya,Africa,25.3192,24.3099,-,-,-,2,2,< 120,-,-,120,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Barringer,-,Arizona,USA,North America,35.0274,-111.0227,-,-,-,1.186,1.186,0.049 ± 0.003,0.046,0.049,0.052,0.003,-,0,-,Y,-,-,iron IA,,,,,,,,,,,
0,x,Beaverhead,-,Montana,USA,North America,44.64,-113.00,-,-,-,60,60,~ 600,540,600,660,-,10%,0,-,N,-,-,-,,,,,,,,,,,
0,-,Beyenchime-Salaaty,-,-,Russia,Asia,71.058,121.692,8,8,-,8,8,Cenozoic,0,-,65.5,-,stratigraphic,0,0,N,Scs,-,-,,,,,,,,,,,
0,-,Bigach,-,-,Kazakhstan,Asia,48.5774,82.0287,8,8,-,8,8,5 ± 3,2,5,8,3,-,0,0,Y,Iss,-,-,,,,,,,,,,,
