Diameter,Lat,Lon,StructureName
90.0 ,-32.0166666667,135.45,ACRAMAN
1.0,31.9833333333,-5.51666666667,AGOUDAL
190.0 ,37.5,-116.5,ALAMO 
~20,-20.85,134.883333333,AMELIA CREEK
16.0 ,36.25,-98.1666666667,AMES 
0.45 ,26.0833333333,4.38333333333,AMGUID 
12.6,19.1,19.25,AOROUNGA 
0.36 ,20.25,-12.6833333333,AOUELLOUL 
40.0 ,-16.7666666667,-52.9833333333,ARAGUAINHA DOME 
12.0 ,71.25,-156.6,AVAK 
30.0 ,41.1666666667,-0.916666666667,AZUARA 
1.186 ,35.0333333333,-111.016666667,BARRINGER 
60.0 ,44.6,-113.0,BEAVERHEAD 
2.4,29.0333333333,-99.85,BEE BLUFF 
8.0 ,71.8333333333,123.5,BEYENCHIME-SALAATIN 
7.0 ,48.5,82.0,BIGACH 
24.0 ,48.75,32.1666666667,BOLTYSH 
10.5,6.53333333333,-1.41666666667,BOSUMTWI 
0.185 ,-22.6166666667,135.2,BOXHOLE 
3.8,46.0833333333,-78.4833333333,BRENT 
8.5,41.8333333333,-85.95,CALVIN 
0.115 ,-27.6333333333,-61.7,CAMPO DEL CIELO 
0.0135,-81.87,-72.98,CARANCAS
39.0 ,58.45,-109.5,CARSWELL 
54.0 ,47.5333333333,-70.3,CHARLEVOIX 
airblast,149.566666667,92.0,CHELYABINSK
85.0 ,37.25,-76.0833333333,CHESAPEAKE BAY 
180.0 ,21.3333333333,-89.5,CHICXULUB 
3.5,-11.2666666667,32.4,CHITULI 
5.5,49.1666666667,57.85,CHIYLI 
6.0 ,75.7,97.8,CHUKCHA 
22.0 ,56.0833333333,-74.1166666667,CLEARWATER LAKE EAST 
32.0 ,56.2166666667,-74.5,CLEARWATER LAKE WEST 
7.0 ,43.1166666667,-106.75,CLOUD CREEK 
3.6,-23.87,-46.43,COLÔNIA
9.0 ,-23.5333333333,124.75,CONNOLLY BASIN 
8.5,-34.7166666667,139.033333333,CRAWFORD 
7.0 ,37.8333333333,-91.3833333333,CROOKED CREEK 
0.021 ,-27.75,117.083333333,DALGARANGA 
1.0 ,-42.3,145.666666667,DARWIN (CRATER)
6.0 ,37.9,-92.7166666667,DECATURVILLE 
5.5,43.3166666667,-91.7666666667,DECORAH
13.0 ,56.4,-102.983333333,DEEP BAY 
19.0 ,61.9166666667,16.65,DELLEN 
8.0 ,42.05,-87.8666666667,DES PLAINES 
4.5,56.5833333333,23.25,DOBELE 
70.0 ,42.05,116.25,DUOLUN 
19.0 ,49.7,-110.583333333,EAGLE BUTTE 
18.0 ,67.5,172.083333333,ELGYGYTGYN 
8.0 ,50.9833333333,-106.716666667,ELBOW 
10.0 ,-34.6166666667,139.066666667,FLAXMAN 
3.55,36.2833333333,-85.6666666667,FLYNN CREEK 
6.0 ,-16.6666666667,136.783333333,FOELSCHE 
4.8,60.65,9.0,GARDNOS 
4.0 ,40.6,-89.7833333333,GLASFORD 
16.0 ,-23.9833333333,121.566666667,GLIKSON 
10.0 ,43.9666666667,-89.5333333333,GLOVER BLUFF 
5.1,-18.3333333333,126.666666667,GOAT PADDOCK 
22.0 ,-23.8333333333,132.316666667,GOSSES BLUFF 
5.0 ,56.45,-104.483333333,GOW
3.0 ,-13.4833333333,135.033333333,GOYDER 
3.0 ,58.4166666667,14.9333333333,GRANDBY 
3.5,48.35,40.2333333333,GUSEV 
14.0 ,17.4166666667,21.75,GWENI-FADA 
24.0 ,75.3666666667,-89.6833333333,HAUGHTON 
0.015 ,37.5833333333,-99.1666666667,HAVILAND 
0.157 ,-24.5833333333,133.15,HENBURY 
20.0 ,-17.0666666667,30.1166666667,HIGHBURY 
2.35,44.4666666667,-76.6333333333,HOLLEFORD 
1.2,93.7333333333,40.2666666667,HUMMELN 
4.0 ,50.6833333333,-73.8833333333,ILE ROULEAU 
0.08 ,152.6,67.1833333333,ILUMETSÄ 
4.5,49.1333333333,29.1833333333,ILYINETS 
0.008 ,-24.2,-68.8,IMILAC 
3.0 ,81.2833333333,39.65,ISO-NAAKKIMA 
6.0,31.05,36.8,JEBEL WAQF AS SUWWAN
4.8,38.1,-85.1,JEPTHA KNOB 
14.0 ,61.9666666667,30.9166666667,JÄNISJÄRVI
0.11 ,95.0333333333,88.8166666667,KAALIJÄRV
0.64 ,-32.7166666667,24.4333333333,KALKKOP 
15.0 ,54.5,36.25,KALUGA 
25.0 ,48.3333333333,40.25,KAMENSK 
0.045,22.0166666667,26.0833333333,KAMIL
65.0 ,69.0833333333,64.3,KARA 
52.0 ,39.0166666667,73.45,KARA-KUL 
1.4,62.2166666667,25.2333333333,KARIKKOSELKÄ
12.0 ,54.9,48.0,KARLA 
10.0 ,-19.9333333333,133.95,KELLY WEST 
13.0 ,40.75,-87.4,KENTLAND 
