Structure name	Country	Lat	Lon	Diam. km	Age Ma. or date	maplink
ACRAMAN	Australia	S 32°01	E 135°27	90.0 	>570.0	[GM]
AGOUDAL	Morocco	N 31°59	W 5°31	1.0	not known	
ALAMO 	USA 	N 37°30	W 116°30	190.0 	367.0 	
AMELIA CREEK	Australia	S 20°51	E 134°53	~20	1640-600	
AMES 	USA 	N 36°15	W 98°10	16.0 	<300.0 	
AMGUID 	Algeria 	N 26°05	E 4°23	0.45 	<0.1 	[GM]
AOROUNGA 	Chad 	N 19°06	E 19°15	12.6	360.0 	[GM]
AOUELLOUL 	Mauritania 	N 20°15	W 12°41	0.36 	3.1 ±0.3 	[GM]
ARAGUAINHA DOME 	Brazil 	S 16°46	W 52°59	40.0 	249.0 ±19.0 	[GM]
AVAK 	USA 	N 71°15	W 156°36	12.0 	100.0 ±5.0 	[GM]
AZUARA 	Spain 	N 41°10	W 0°55	30.0 	23 - 41	[GM]
BARRINGER 	USA 	N 35°02	W 111°01	1.186 	0.049 ±0.0 	[GM]
BEAVERHEAD 	USA 	N 44°36	W 113°00	60.0 	~600.0 	
BEE BLUFF 	USA 	N 29°02	W 99°51	2.4	<40.0 	
BEYENCHIME-SALAATIN 	Russia 	N 71°50	E 123°30	8.0 	65.0 	[GM]
BIGACH 	Kazakstan 	N 48°30	E 82°00	7.0 	6.0 ±3.0 	[GM]
BOLTYSH 	Ukraine 	N 48°45	E 32°10	24.0 	88.0 ±3.0 	
BOSUMTWI 	Ghana 	N 6°32	W 1°25	10.5	1.07 ±0.2 	[GM]
BOXHOLE 	Australia 	S 22°37	E 135°12	0.185 	0.03 	[GM]
BRENT 	Canada 	N 46°05	W 78°29	3.8	450.0 ±30.0 	[GM]
CALVIN 	USA 	N 41°50	W 85°57	8.5	460.0 ±10.0 	
CAMPO DEL CIELO 	Argentina 	S 27°38	W 61°42	0.115 	<0.004 	[GM]
CARANCAS	Peru	S 16°3952.2	W 69°0238.8	0.0135	18. Sept 2007	[GM]
CARSWELL 	Canada 	N 58°27	W 109°30	39.0 	115.0 ±10.0 	[GM]
CHARLEVOIX 	Canada 	N 47°32	W 70°18	54.0 	357.0 ±15.0 	[GM]
CHELYABINSK	Russia	N 54°5734	E 60°1920	airblast	15 Feb 2013 	
CHESAPEAKE BAY 	USA 	N 37°15	W 76°05	85.0 	35.5 ±0.6 	[GM]
CHICXULUB 	Mexico 	N 21°20	W 89°30	180.0 	64.98 ±0.05 	[GM]
CHITULI 	Zambia 	S 11°16	E 32°24	3.5	1800.0 	
CHIYLI 	Kazakstan 	N 49°10	E 57°51	5.5	46.0 ±7.0 	[GM]
CHUKCHA 	Russia 	N 75°42	E 97°48	6.0 	<70.0 	
CLEARWATER LAKE EAST 	Canada 	N 56°05	W 74°07	22.0 	460-470	[GM]
CLEARWATER LAKE WEST 	Canada 	N 56°13	W 74°30	32.0 	286.0	[GM]
CLOUD CREEK 	USA 	N 43°07	W 106°45	7.0 	190.0 ±30.0 	
COLÔNIA	Brazil	S 23°52.2	W 46°25.8	3.6	5 - 36	[GM]
CONNOLLY BASIN 	Australia 	S 23°32	E 124°45	9.0 	<60.0 	[GM]
CRAWFORD 	Australia 	S 34°43	E 139°02	8.5	>35.0 	
CROOKED CREEK 	USA 	N 37°50	W 91°23	7.0 	320.0 ±80.0 	[GM]
DALGARANGA 	Australia 	S 27°45	E 117°05	0.021 	0.025 	
DARWIN (CRATER)	Australia 	S 42°18	E 145°40	1.0 	0.73 	[GM]
DECATURVILLE 	USA 	N 37°54	W 92°43	6.0 	<300.0 ±50.0 	[GM]
DECORAH	USA	N 43°19	W 91°46	5.5	470.0	[GM]
DEEP BAY 	Canada 	N 56°24	W 102°59	13.0 	100.0 	[GM]
DELLEN 	Sweden 	N 61°55	E 16°39	19.0 	89.0 ±2.7 	[GM]
DES PLAINES 	USA 	N 42°03	W 87°52	8.0 	<280.0 	
DOBELE 	Latvia 	N 56°35	E 23°15	4.5	205.0 ±35.0 	
DUOLUN 	China 	N 42°03	E 116°15	70.0 	129.0 ±3.0 	[GM]
EAGLE BUTTE 	Canada 	N 49°42	W 110°35	19.0 	<65.0 	
ELGYGYTGYN 	Russia 	N 67°30	E 172°05	18.0 	3.58 ±0.04 	[GM]
ELBOW 	Canada 	N 50°59	W 106°43	8.0 	395.0 ±25.0 	
FLAXMAN 	Australia 	S 34°37	E 139°04	10.0 	>35.0 	
FLYNN CREEK 	USA 	N 36°17	W 85°40	3.55	360.0 ±20.0 	[GM]
FOELSCHE 	Australia 	S 16°40	E 136°47	6.0 	>545.0 	[GM]
GARDNOS 	Norway 	N 60°39	E 9°00	4.8	650.0 	[GM]
GLASFORD 	USA 	N 40°36	W 89°47	4.0 	<430.0 	
GLIKSON 	Australia 	S 23°59	E 121°34	16.0 	not known 	[GM]
GLOVER BLUFF 	USA 	N 43°58	W 89°32	10.0 	<500.0 	
GOAT PADDOCK 	Australia 	S 18°20	E 126°40	5.1	50.0 	[GM]
GOSSES BLUFF 	Australia 	S 23°50	E 132°19	22.0 	142.5 ±0.5 	[GM]
GOW	Canada 	N 56°27	W 104°29	5.0 	<250.0 	[GM]
GOYDER 	Australia 	S 13°29	E 135°02	3.0 	>136.0 	[GM]
GRANDBY 	Sweden 	N 58°25	E 14°56	3.0 	470.0 ±30.0 	
GUSEV 	Russia 	N 48°21	E 40°14	3.5	65.0 	
GWENI-FADA 	Chad 	N 17°25	E 21°45	14.0 	<345.0 	[GM]
HAUGHTON 	Canada 	N 75°22	W 89°41	24.0 	23.4 ±1.0 	[GM]
HAVILAND 	USA 	N 37°35	W 99°10	0.015 	<0.001 	
